data;
param nbItems := 100;

param costItem :=
 1 537
 2 566
 3 320
 4 654
 5 668
 6 68
 7 332
 8 298
 9 689
 10 964
 11 731
 12 726
 13 299
 14 22
 15 798
 16 558
 17 287
 18 642
 19 291
 20 152
 21 272
 22 535
 23 731
 24 866
 25 987
 26 5
 27 985
 28 763
 29 793
 30 451
 31 429
 32 754
 33 50
 34 246
 35 142
 36 711
 37 326
 38 863
 39 295
 40 860
 41 518
 42 912
 43 672
 44 224
 45 578
 46 779
 47 917
 48 872
 49 836
 50 542
 51 987
 52 594
 53 914
 54 358
 55 359
 56 479
 57 617
 58 959
 59 441
 60 76
 61 156
 62 646
 63 509
 64 30
 65 716
 66 276
 67 634
 68 791
 69 442
 70 7
 71 99
 72 233
 73 79
 74 942
 75 68
 76 30
 77 540
 78 792
 79 703
 80 82
 81 478
 82 482
 83 979
 84 902
 85 785
 86 564
 87 590
 88 713
 89 861
 90 374
 91 873
 92 316
 93 14
 94 692
 95 954
 96 603
 97 381
 98 835
 99 735
 100 779
;

param weightItem :=
 1 361
 2 949
 3 30
 4 448
 5 516
 6 54
 7 492
 8 762
 9 720
 10 855
 11 78
 12 678
 13 474
 14 263
 15 96
 16 845
 17 85
 18 876
 19 242
 20 321
 21 144
 22 889
 23 525
 24 948
 25 653
 26 261
 27 504
 28 883
 29 693
 30 224
 31 746
 32 246
 33 38
 34 388
 35 603
 36 863
 37 126
 38 654
 39 939
 40 636
 41 961
 42 376
 43 556
 44 731
 45 199
 46 692
 47 75
 48 337
 49 113
 50 63
 51 320
 52 878
 53 417
 54 647
 55 208
 56 617
 57 609
 58 738
 59 144
 60 748
 61 388
 62 789
 63 106
 64 259
 65 409
 66 518
 67 452
 68 719
 69 359
 70 119
 71 739
 72 73
 73 458
 74 552
 75 727
 76 581
 77 298
 78 663
 79 136
 80 221
 81 268
 82 774
 83 118
 84 670
 85 906
 86 153
 87 790
 88 244
 89 902
 90 242
 91 224
 92 381
 93 669
 94 515
 95 917
 96 724
 97 958
 98 223
 99 606
 100 372;

param capacity := 24379;

end;
