data;
param nbItems := 100;

param costItem :=
 1 675
 2 233
 3 95
 4 576
 5 495
 6 625
 7 509
 8 544
 9 904
 10 548
 11 968
 12 181
 13 152
 14 834
 15 858
 16 367
 17 378
 18 746
 19 451
 20 570
 21 9
 22 204
 23 491
 24 77
 25 117
 26 97
 27 622
 28 700
 29 235
 30 20
 31 529
 32 272
 33 551
 34 706
 35 296
 36 857
 37 865
 38 292
 39 17
 40 437
 41 289
 42 29
 43 512
 44 363
 45 864
 46 591
 47 680
 48 96
 49 893
 50 464
 51 995
 52 843
 53 824
 54 98
 55 702
 56 276
 57 158
 58 65
 59 308
 60 358
 61 850
 62 157
 63 958
 64 350
 65 284
 66 47
 67 892
 68 747
 69 889
 70 936
 71 778
 72 309
 73 743
 74 36
 75 697
 76 371
 77 771
 78 230
 79 696
 80 709
 81 441
 82 341
 83 936
 84 207
 85 999
 86 588
 87 529
 88 710
 89 103
 90 200
 91 692
 92 261
 93 39
 94 34
 95 806
 96 433
 97 182
 98 316
 99 710
 100 267
;

param weightItem :=
 1 986
 2 589
 3 848
 4 314
 5 255
 6 905
 7 435
 8 607
 9 979
 10 749
 11 570
 12 474
 13 318
 14 264
 15 563
 16 235
 17 593
 18 263
 19 597
 20 190
 21 377
 22 333
 23 311
 24 100
 25 675
 26 960
 27 299
 28 154
 29 438
 30 303
 31 206
 32 855
 33 801
 34 7
 35 364
 36 956
 37 690
 38 821
 39 76
 40 835
 41 416
 42 661
 43 478
 44 738
 45 478
 46 593
 47 221
 48 889
 49 501
 50 358
 51 453
 52 334
 53 677
 54 56
 55 537
 56 346
 57 359
 58 230
 59 505
 60 885
 61 601
 62 152
 63 487
 64 684
 65 599
 66 997
 67 909
 68 515
 69 866
 70 529
 71 860
 72 717
 73 616
 74 59
 75 523
 76 88
 77 193
 78 732
 79 2
 80 798
 81 689
 82 563
 83 242
 84 709
 85 486
 86 70
 87 380
 88 696
 89 760
 90 811
 91 618
 92 527
 93 375
 94 621
 95 54
 96 826
 97 102
 98 602
 99 437
 100 651
;
param capacity := 25578;

end;
