data;

param nbTIC:=3;
param : t_start t_end :=
 1 480 1080
 2 480 1080
 3 480 1080;

param nbINT:=10;
param : duree date s_min s_max penalite :=
 1 30 1 990 1050 1000
 2 60 1 750 810 1000
 3 30 0 0 1440 1000
 4 60 1 840 990 1000
 5 60 1 570 660 1000
 6 30 1 690 780 1000
 7 60 0 0 1440 1000
 8 60 0 0 1440 1000
 9 90 1 600 750 1000
 10 30 1 570 600 1000;

param C:  1 2 3 4 5 6 7 8 9 10 11 12 13 := 
 1 1 1 0 1 0 0 0 0 1 1 1 0 0
 2 1 1 1 1 1 1 1 1 1 1 0 1 0
 3 1 1 1 1 1 1 1 1 1 1 0 0 1;

param D : 1 2 3 4 5 6 7 8 9 10 11 12 13  := 
 1 0 46 20 31 62 46 55 20 31 60 58 40 12 
 2 46 0 28 28 17 18 100 62 72 61 19 60 54 
 3 20 28 0 27 44 26 73 34 50 63 38 37 26 
 4 31 28 27 0 45 41 82 51 48 37 47 64 43 
 5 62 17 44 45 0 23 117 78 89 73 13 71 70 
 6 46 18 26 41 23 0 98 58 76 76 13 48 51 
 7 55 100 73 82 117 98 0 41 40 96 111 66 47 
 8 20 62 34 51 78 58 41 0 35 78 71 31 8 
 9 31 72 50 48 89 76 40 35 0 56 87 66 35 
 10 60 61 63 37 73 76 96 78 56 0 80 98 72 
 11 58 19 38 47 13 13 111 71 87 80 0 60 64 
 12 40 60 37 64 71 48 66 31 66 98 60 0 31 
 13 12 54 26 43 70 51 47 8 35 72 64 31 0 ;

param T : 1 2 3 4 5 6 7 8 9 10 11 12 13  := 
 1 0 55 24 37 74 55 66 24 37 72 69 48 14 
 2 55 0 33 33 20 21 120 74 86 73 22 72 64 
 3 24 33 0 32 52 31 87 40 60 75 45 44 31 
 4 37 33 32 0 54 49 98 61 57 44 56 76 51 
 5 74 20 52 54 0 27 140 93 106 87 15 85 84 
 6 55 21 31 49 27 0 117 69 91 91 15 57 61 
 7 66 120 87 98 140 117 0 49 48 115 133 79 56 
 8 24 74 40 61 93 69 49 0 42 93 85 37 9 
 9 37 86 60 57 106 91 48 42 0 67 104 79 42 
 10 72 73 75 44 87 91 115 93 67 0 96 117 86 
 11 69 22 45 56 15 15 133 85 104 96 0 72 76 
 12 48 72 44 76 85 57 79 37 79 117 72 0 37 
 13 14 64 31 51 84 61 56 9 42 86 76 37 0 ;



end;
